A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
Epsiode 985/10000 - Total Reward: 655.00
Epsiode 986/10000 - Total Reward: 335.00
Epsiode 987/10000 - Total Reward: 185.00
Epsiode 988/10000 - Total Reward: 60.00
Epsiode 989/10000 - Total Reward: 60.00
Epsiode 990/10000 - Total Reward: 525.00
Epsiode 991/10000 - Total Reward: 80.00
Epsiode 992/10000 - Total Reward: 215.00
Epsiode 993/10000 - Total Reward: 170.00
Epsiode 994/10000 - Total Reward: 420.00
Epsiode 995/10000 - Total Reward: 330.00
Epsiode 996/10000 - Total Reward: 360.00
Epsiode 997/10000 - Total Reward: 175.00
Epsiode 998/10000 - Total Reward: 130.00
Epsiode 999/10000 - Total Reward: 190.00
Epsiode 1000/10000 - Total Reward: 260.00
Saved checkpoint at episode 1000 -> checkpoint.pth
Epsiode 1001/10000 - Total Reward: 455.00
Epsiode 1002/10000 - Total Reward: 50.00
Epsiode 1003/10000 - Total Reward: 210.00
Epsiode 1004/10000 - Total Reward: 60.00
Epsiode 1005/10000 - Total Reward: 140.00
Epsiode 1006/10000 - Total Reward: 90.00
Epsiode 1007/10000 - Total Reward: 140.00
Epsiode 1008/10000 - Total Reward: 385.00
Epsiode 1009/10000 - Total Reward: 140.00
Epsiode 1010/10000 - Total Reward: 140.00
Epsiode 1011/10000 - Total Reward: 225.00
Epsiode 1012/10000 - Total Reward: 370.00
Epsiode 1013/10000 - Total Reward: 350.00
Epsiode 1014/10000 - Total Reward: 540.00
Epsiode 1015/10000 - Total Reward: 70.00
Epsiode 1016/10000 - Total Reward: 410.00
Epsiode 1017/10000 - Total Reward: 245.00
Epsiode 1018/10000 - Total Reward: 405.00
Epsiode 1019/10000 - Total Reward: 180.00
Epsiode 1020/10000 - Total Reward: 255.00
Epsiode 1021/10000 - Total Reward: 210.00
Epsiode 1022/10000 - Total Reward: 465.00
Epsiode 1023/10000 - Total Reward: 30.00
Epsiode 1024/10000 - Total Reward: 520.00
Epsiode 1025/10000 - Total Reward: 280.00
Epsiode 1026/10000 - Total Reward: 85.00
Epsiode 1027/10000 - Total Reward: 115.00
Epsiode 1028/10000 - Total Reward: 30.00
Epsiode 1029/10000 - Total Reward: 180.00
Epsiode 1030/10000 - Total Reward: 40.00
Epsiode 1031/10000 - Total Reward: 35.00
Epsiode 1032/10000 - Total Reward: 305.00
Epsiode 1033/10000 - Total Reward: 80.00
Epsiode 1034/10000 - Total Reward: 375.00
Epsiode 1035/10000 - Total Reward: 170.00
Epsiode 1036/10000 - Total Reward: 105.00
Epsiode 1037/10000 - Total Reward: 250.00
Epsiode 1038/10000 - Total Reward: 320.00
Epsiode 1039/10000 - Total Reward: 160.00
Epsiode 1040/10000 - Total Reward: 210.00
Epsiode 1041/10000 - Total Reward: 165.00
Epsiode 1042/10000 - Total Reward: 400.00
Epsiode 1043/10000 - Total Reward: 210.00
Epsiode 1044/10000 - Total Reward: 275.00
Epsiode 1045/10000 - Total Reward: 140.00
Epsiode 1046/10000 - Total Reward: 190.00
Epsiode 1047/10000 - Total Reward: 260.00
Epsiode 1048/10000 - Total Reward: 220.00
Epsiode 1049/10000 - Total Reward: 125.00
Epsiode 1050/10000 - Total Reward: 395.00
Saved checkpoint at episode 1050 -> checkpoint.pth
Epsiode 1051/10000 - Total Reward: 170.00
Epsiode 1052/10000 - Total Reward: 375.00
Epsiode 1053/10000 - Total Reward: 90.00
Epsiode 1054/10000 - Total Reward: 150.00
Epsiode 1055/10000 - Total Reward: 190.00
Epsiode 1056/10000 - Total Reward: 230.00
Epsiode 1057/10000 - Total Reward: 145.00
Epsiode 1058/10000 - Total Reward: 655.00
Epsiode 1059/10000 - Total Reward: 125.00
Epsiode 1060/10000 - Total Reward: 115.00
Epsiode 1061/10000 - Total Reward: 165.00
Epsiode 1062/10000 - Total Reward: 430.00
Epsiode 1063/10000 - Total Reward: 220.00
Epsiode 1064/10000 - Total Reward: 290.00
Epsiode 1065/10000 - Total Reward: 105.00
Epsiode 1066/10000 - Total Reward: 90.00
Epsiode 1067/10000 - Total Reward: 80.00
Epsiode 1068/10000 - Total Reward: 90.00
Epsiode 1069/10000 - Total Reward: 125.00
Epsiode 1070/10000 - Total Reward: 185.00
Epsiode 1071/10000 - Total Reward: 550.00
Epsiode 1072/10000 - Total Reward: 105.00
Epsiode 1073/10000 - Total Reward: 255.00
Epsiode 1074/10000 - Total Reward: 195.00
Epsiode 1075/10000 - Total Reward: 30.00
Epsiode 1076/10000 - Total Reward: 235.00
Epsiode 1077/10000 - Total Reward: 140.00
Epsiode 1078/10000 - Total Reward: 115.00
Epsiode 1079/10000 - Total Reward: 325.00
Epsiode 1080/10000 - Total Reward: 150.00
Epsiode 1081/10000 - Total Reward: 215.00
Epsiode 1082/10000 - Total Reward: 180.00
Epsiode 1083/10000 - Total Reward: 150.00
Epsiode 1084/10000 - Total Reward: 385.00
Epsiode 1085/10000 - Total Reward: 115.00
Epsiode 1086/10000 - Total Reward: 50.00
Epsiode 1087/10000 - Total Reward: 565.00
Epsiode 1088/10000 - Total Reward: 420.00
Epsiode 1089/10000 - Total Reward: 95.00
Epsiode 1090/10000 - Total Reward: 540.00
Epsiode 1091/10000 - Total Reward: 415.00
Epsiode 1092/10000 - Total Reward: 30.00
Epsiode 1093/10000 - Total Reward: 30.00
Epsiode 1094/10000 - Total Reward: 495.00
Epsiode 1095/10000 - Total Reward: 255.00
Epsiode 1096/10000 - Total Reward: 345.00
Epsiode 1097/10000 - Total Reward: 90.00
Epsiode 1098/10000 - Total Reward: 115.00
Epsiode 1099/10000 - Total Reward: 170.00
Epsiode 1100/10000 - Total Reward: 245.00
Saved checkpoint at episode 1100 -> checkpoint.pth
Epsiode 1101/10000 - Total Reward: 200.00
Epsiode 1102/10000 - Total Reward: 210.00
Epsiode 1103/10000 - Total Reward: 35.00
Epsiode 1104/10000 - Total Reward: 140.00
Epsiode 1105/10000 - Total Reward: 190.00
Epsiode 1106/10000 - Total Reward: 600.00
Epsiode 1107/10000 - Total Reward: 155.00
Epsiode 1108/10000 - Total Reward: 130.00
Epsiode 1109/10000 - Total Reward: 485.00
Epsiode 1110/10000 - Total Reward: 390.00
Epsiode 1111/10000 - Total Reward: 130.00
Epsiode 1112/10000 - Total Reward: 230.00
Epsiode 1113/10000 - Total Reward: 165.00
Epsiode 1114/10000 - Total Reward: 105.00
Epsiode 1115/10000 - Total Reward: 475.00
Epsiode 1116/10000 - Total Reward: 65.00
Epsiode 1117/10000 - Total Reward: 245.00
Epsiode 1118/10000 - Total Reward: 160.00
Epsiode 1119/10000 - Total Reward: 90.00
